0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:50 +0530] "GET /pms-web/login/logout?authFailed=true HTTP/1.1" 200 4599
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:51 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:51 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:51 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:51 +0530] "GET /pms-web/common/third-i-logo-color.png HTTP/1.1" 200 14889
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:51 +0530] "GET /pms-web/lib/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:08 +0530] "GET /pms-web/login/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:08 +0530] "GET /pms-web/login/logout HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:10 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:10 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:10 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:10 +0530] "GET /pms-web/common/third-i-logo-color.png HTTP/1.1" 200 14889
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:10 +0530] "GET /pms-web/lib/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:24 +0530] "POST /pms-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:33 +0530] "GET /pms-web/login/index HTTP/1.1" 200 65961
